LearDia;LearHou;SharHou;CollMem;CollExp;CourCom;UnitKerja
0;0;0;0;0;0;7
0;0;0;0;0;0;2
0;0;0;0;0;0;1
0;0.01;0;0;3;1;7
0;0;0;0;0;0;7
463;106.43;108.5;434;622;727;2
0;0;0;0;0;0;2
0;0.53;1.25;10;5;0;7
46;106.81;41;42;160;66;4
0;0.46;0;0;0;3;1
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;2.91;0;0;0;0;7
0;0;0;0;0;0;7
8;158.86;24.84;12;536;0;2
0;0;0;0;0;0;7
0;0;0;0;0;0;7
6;27.55;21.15;37;78;317;7
0;0;0;0;0;0;6
3;0.24;0;0;0;4;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;60.49;0;0;281;2;7
0;0;0;0;0;0;5
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;5
0;0;0;0;0;2;5
0;0;0;0;0;0;7
0;0;0;0;0;0;5
0;265.06;0;0;279;509;7
0;28.92;0;0;83;0;6
0;0;0;0;0;0;7
1;11.05;0;0;0;22;2
